2013-06-18 03:51:18.683 PM	FormSendQtyToGSHK_Load	Start Cutoff
2013-06-18 03:51:58.021 PM	docutoff	Send Mail success
2013-06-18 03:51:58.115 PM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-06-18 03:54:10.502 PM	DoWork	Done. Email sent(1)
2013-06-18 04:00:37.901 PM	DoWork	Nothing to send.
2013-06-18 04:04:48.349 PM	DoWork	Done. Email sent(1)
2013-06-18 04:06:12.431 PM	DoWork	Done. Email sent(1)
2013-06-18 04:07:10.457 PM	DoWork	Done. Email sent(1)
2013-06-18 04:34:44.029 PM	FormScheduller_Load	Start Scheduller
2013-06-18 04:34:44.044 PM	cutoffscheduller	Start Cutoff
2013-06-18 04:34:44.060 PM	dowork	Email was not sent. If you want to send this Email, Please Update "Email Sent Status To Logistics" in System Parameters, set the value to False.
2013-06-18 04:34:44.060 PM	cutoffscheduller	End Cutoff
2013-06-18 04:34:44.060 PM	reminderscheduller	Start Reminder
2013-06-18 04:34:44.091 PM	DoWork	Nothing to send.
2013-06-18 04:34:44.091 PM	reminderscheduller	End Reminder
2013-06-18 04:34:44.091 PM	orderCollectionscheduller	Start OrderCollection
2013-06-18 04:34:44.107 PM	DoWork	Nothing to send.
2013-06-18 04:34:44.107 PM	orderCollectionscheduller	End OrderCollection
2013-06-18 04:34:44.107 PM	FormScheduller_Load	End Scheduller
2013-06-28 09:51:38.520 AM	FormSendQtyToGSHK_Load	Start Cutoff
2013-06-28 09:52:08.851 AM	docutoff	Create Attachment Failed
2013-06-28 09:52:08.851 AM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-06-28 09:52:27.552 AM	FormSendQtyToGSHK_Load	Start Cutoff
2013-06-28 09:53:36.128 AM	docutoff	Send Mail success
2013-06-28 09:53:36.144 AM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-07-16 12:13:52.679 PM	FormSendQtyToGSHK_Load	Start Cutoff
2013-07-16 12:15:17.992 PM	docutoff	Send Mail success
2013-07-16 12:15:17.992 PM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-07-16 04:34:11.489 PM	FormSendQtyToGSHK_Load	Start Cutoff
2013-07-16 04:34:11.489 PM	dowork	Not yet cutoff.
2013-07-16 04:34:11.489 PM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-07-16 04:34:38.562 PM	FormSendQtyToGSHK_Load	Start Cutoff
2013-07-16 04:34:38.562 PM	dowork	Email was not sent. If you want to send this Email, Please Update "Email Sent Status To Logistics" in System Parameters, set the value to False.
2013-07-16 04:34:38.562 PM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-07-16 04:34:51.662 PM	FormSendQtyToGSHK_Load	Start Cutoff
2013-07-16 04:35:08.583 PM	docutoff	Send Mail success
2013-07-16 04:35:08.583 PM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-07-16 04:40:15.231 PM	DoWork	Done. Email sent(13)
2013-07-16 04:44:28.747 PM	DoWork	Done. Email sent(1)
2013-07-17 09:53:30.943 AM	FormSendQtyToGSHK_Load	Start Cutoff
2013-07-17 09:53:30.974 AM	docutoff	No record to process
2013-07-17 09:53:30.974 AM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-07-17 09:53:53.967 AM	FormSendQtyToGSHK_Load	Start Cutoff
2013-07-17 09:53:53.967 AM	docutoff	No record to process
2013-07-17 09:53:53.967 AM	FormSendQtyToGSHK_Load	Finish Cutoff
